SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 20-Jan-2026,107.45,106.37,106.37,104.85,104.85,104.85,104.85,3013,3.16,11,3007.0, 99.80,2026-01-20
20MICRONS, EQ, 20-Jan-2026,185.43,184.2,185.6,175.67,177.87,176.9,180.52,136376,246.18,3749,61155.0, 44.84,2026-01-20
21STCENMGM, EQ, 20-Jan-2026,42.89,42.04,42.04,42.04,42.04,42.04,42.04,1063,0.45,17,1063.0, 100.00,2026-01-20
360ONE, EQ, 20-Jan-2026,1170.1,1162.0,1163.9,1123.5,1129.6,1129.6,1138.17,1700344,19352.87,80146,695565.0, 40.91,2026-01-20
3IINFOLTD, EQ, 20-Jan-2026,15.17,15.2,15.25,14.79,14.79,14.83,14.94,808943,120.87,1540,684300.0, 84.59,2026-01-20
3MINDIA, EQ, 20-Jan-2026,34445.0,34445.0,34445.0,33000.0,33400.0,33375.0,33663.24,4275,1439.1,2266,2352.0, 55.02,2026-01-20
3PLAND, EQ, 20-Jan-2026,36.23,36.0,36.4,35.1,36.19,36.16,35.98,1736,0.62,84,1661.0, 95.68,2026-01-20
563GS2026, GS, 20-Jan-2026,101.27,101.5,101.5,101.29,101.35,101.35,101.37,700,0.71,8,584.0, 83.43,2026-01-20
591GS2028, GS, 20-Jan-2026,99.13,99.13,99.13,99.13,99.13,99.13,99.13,1000,0.99,2,1000.0, 100.00,2026-01-20
5PAISA, EQ, 20-Jan-2026,378.95,377.05,393.6,353.95,363.0,358.0,374.83,321398,1204.69,10125,54589.0, 16.98,2026-01-20
601GS2030, GS, 20-Jan-2026,98.76,100.0,100.0,98.76,98.8,98.8,98.78,1186,1.17,9,1186.0, 100.00,2026-01-20
619GS2034, GS, 20-Jan-2026,96.25,98.2,98.2,98.2,98.2,98.2,98.2,298,0.29,1,298.0, 100.00,2026-01-20
628GS2032, GS, 20-Jan-2026,97.25,97.4,97.4,97.4,97.4,97.4,97.4,100,0.1,1,100.0, 100.00,2026-01-20
63MOONS, EQ, 20-Jan-2026,656.65,652.05,654.45,607.95,612.0,611.6,631.07,126032,795.35,6412,79446.0, 63.04,2026-01-20
648GS2035, GS, 20-Jan-2026,99.91,99.51,101.0,99.51,101.0,101.0,99.58,401,0.4,5,401.0, 100.00,2026-01-20
654GS2032, GS, 20-Jan-2026,99.65,99.7,99.7,99.7,99.7,99.7,99.7,1450,1.45,4,1450.0, 100.00,2026-01-20
664GS2027, GS, 20-Jan-2026,101.26,101.26,101.26,101.26,101.26,101.26,101.26,5300,5.37,3,5300.0, 100.00,2026-01-20
664GS2035, GS, 20-Jan-2026,98.36,98.71,98.71,98.71,98.71,98.71,98.71,1000,0.99,1,1000.0, 100.00,2026-01-20
667GS2035, GS, 20-Jan-2026,100.1,105.1,105.1,105.1,105.1,105.1,105.1,2000,2.1,2,2000.0, 100.00,2026-01-20
667GS2050, GS, 20-Jan-2026,92.7,92.95,92.95,92.49,92.49,92.49,92.5,2300,2.13,10,2200.0, 95.65,2026-01-20
668GS2040, GS, 20-Jan-2026,96.85,96.9,96.95,95.5,96.4,96.4,95.78,38359,36.74,16,32003.0, 83.43,2026-01-20
675GS2029, GS, 20-Jan-2026,101.25,101.26,101.26,101.26,101.26,101.26,101.26,100,0.1,1,100.0, 100.00,2026-01-20
676GS2061, GS, 20-Jan-2026,94.55,94.15,94.6,94.15,94.6,94.6,94.58,1056,1.0,2,1000.0, 94.70,2026-01-20
679GS2031, GS, 20-Jan-2026,100.4,100.41,100.41,100.41,100.41,100.41,100.41,1200,1.2,3,1200.0, 100.00,2026-01-20
679GS2034, GS, 20-Jan-2026,101.99,101.5,102.0,101.5,102.0,102.0,101.75,400,0.41,2,200.0, 50.00,2026-01-20
68GS2060, GS, 20-Jan-2026,95.25,95.25,95.25,95.25,95.25,95.25,95.25,10,0.01,1,10.0, 100.00,2026-01-20
690GS2065, GS, 20-Jan-2026,95.15,95.25,95.25,95.01,95.25,95.25,95.17,9099,8.66,10,7000.0, 76.93,2026-01-20
692GS2039, GS, 20-Jan-2026,99.61,99.51,99.51,99.0,99.0,99.0,99.22,1615,1.6,3,1615.0, 100.00,2026-01-20
695GS2061, GS, 20-Jan-2026,94.49,94.9,94.9,94.4,94.4,94.4,94.85,220,0.21,2,220.0, 100.00,2026-01-20
698GR2054, GS, 20-Jan-2026,94.0,93.5,94.1,93.5,93.8,93.8,93.57,1401,1.31,7,1401.0, 100.00,2026-01-20
699GS2026, GS, 20-Jan-2026,101.9,101.91,101.91,101.9,101.9,101.9,101.9,505,0.51,4,505.0, 100.00,2026-01-20
699GS2051, GS, 20-Jan-2026,96.55,96.56,96.56,95.9,95.9,95.9,96.25,11097,10.68,6,10000.0, 90.11,2026-01-20
702GS2027, GS, 20-Jan-2026,102.01,101.81,102.58,101.81,102.58,102.58,101.82,25649,26.12,8,25648.0, 100.00,2026-01-20
704GS2029, GS, 20-Jan-2026,102.44,102.41,102.41,102.41,102.41,102.41,102.41,2740,2.81,4,2740.0, 100.00,2026-01-20
706GS2028, GS, 20-Jan-2026,103.75,103.5,103.9,103.5,103.9,103.9,103.79,5520,5.73,4,5520.0, 100.00,2026-01-20
709GS2054, GS, 20-Jan-2026,99.98,99.98,100.0,99.11,99.8,99.8,99.66,12397,12.35,16,10307.0, 83.14,2026-01-20
709GS2074, GS, 20-Jan-2026,96.92,96.9,96.99,96.77,96.99,96.91,96.85,424524,411.14,524,424427.0, 99.98,2026-01-20
710GS2029, GS, 20-Jan-2026,104.9,104.9,104.9,104.1,104.1,104.1,104.34,6655,6.94,4,6655.0, 100.00,2026-01-20
717GS2030, GS, 20-Jan-2026,103.5,103.6,104.5,103.6,103.8,103.8,103.97,13862,14.41,7,9062.0, 65.37,2026-01-20
718GS2033, GS, 20-Jan-2026,106.15,106.15,106.15,106.15,106.15,106.15,106.15,3000,3.18,2,3000.0, 100.00,2026-01-20
718GS2037, GS, 20-Jan-2026,105.95,105.7,105.8,104.9,105.37,105.49,105.56,93948,99.18,33,84524.0, 89.97,2026-01-20
719GS2060, GS, 20-Jan-2026,100.0,99.5,99.5,99.5,99.5,99.5,99.5,27,0.03,2,27.0, 100.00,2026-01-20
71GS2034, GS, 20-Jan-2026,103.65,103.85,103.85,103.85,103.85,103.85,103.85,2300,2.39,1,2300.0, 100.00,2026-01-20
