SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 12-Feb-2026,105.05,109.0,109.0,106.0,106.0,106.0,107.54,100,0.11,4,100.0, 100.00,2026-02-12
20MICRONS, EQ, 12-Feb-2026,188.07,188.07,195.34,185.29,186.0,187.23,190.26,221335,421.12,4390,88540.0, 40.00,2026-02-12
21STCENMGM, EQ, 12-Feb-2026,38.9,38.8,39.67,38.2,38.4,38.78,38.56,1862,0.72,61,1173.0, 63.00,2026-02-12
360ONE, EQ, 12-Feb-2026,1138.4,1135.0,1146.8,1110.6,1142.1,1144.4,1133.25,568928,6447.4,25941,280246.0, 49.26,2026-02-12
3IINFOLTD, EQ, 12-Feb-2026,16.04,15.96,15.96,15.39,15.66,15.5,15.59,282591,44.06,1524,179503.0, 63.52,2026-02-12
3MINDIA, EQ, 12-Feb-2026,37580.0,37880.0,37880.0,35800.0,37515.0,37515.0,37439.23,21762,8147.52,7420,10857.0, 49.89,2026-02-12
3PLAND, EQ, 12-Feb-2026,34.98,34.98,35.2,34.03,34.75,34.48,34.48,1821,0.63,49,1100.0, 60.41,2026-02-12
563GS2026, GS, 12-Feb-2026,101.85,101.87,101.87,101.71,101.71,101.71,101.79,101,0.1,3,51.0, 50.50,2026-02-12
579GS2030, GS, 12-Feb-2026,99.3,97.28,97.28,96.0,96.0,96.35,96.36,3000,2.89,6,3000.0, 100.00,2026-02-12
585GS2030, GS, 12-Feb-2026,96.12,97.34,97.5,96.12,97.5,97.5,96.57,1600,1.55,5,1200.0, 75.00,2026-02-12
591GS2028, GS, 12-Feb-2026,99.16,99.16,99.16,99.16,99.16,99.16,99.16,50,0.05,1,50.0, 100.00,2026-02-12
5PAISA, EQ, 12-Feb-2026,333.25,333.0,337.85,329.2,331.25,331.2,332.19,33422,111.02,1554,17025.0, 50.94,2026-02-12
601GS2030, GS, 12-Feb-2026,98.25,98.25,99.0,98.25,99.0,99.0,98.31,1740,1.71,4,1600.0, 91.95,2026-02-12
622GS2035, GS, 12-Feb-2026,99.0,97.37,97.37,96.29,96.29,96.29,96.4,1000,0.96,3,1000.0, 100.00,2026-02-12
628GS2032, GS, 12-Feb-2026,97.0,98.7,98.7,98.7,98.7,98.7,98.7,5000,4.94,1,5000.0, 100.00,2026-02-12
633GS2035, GS, 12-Feb-2026,99.65,99.7,99.7,99.7,99.7,99.7,99.7,2000,1.99,1,2000.0, 100.00,2026-02-12
63MOONS, EQ, 12-Feb-2026,701.15,701.0,701.0,684.5,690.0,688.7,691.17,59957,414.4,3635,25039.0, 41.76,2026-02-12
648GS2035, GS, 12-Feb-2026,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,0.1,4,100.0, 100.00,2026-02-12
654GS2032, GS, 12-Feb-2026,100.0,100.2,100.45,100.2,100.45,100.45,100.39,9000,9.04,3,9000.0, 100.00,2026-02-12
664GS2027, GS, 12-Feb-2026,102.14,101.41,101.41,101.41,101.41,101.41,101.41,75,0.08,1,75.0, 100.00,2026-02-12
667GS2035, GS, 12-Feb-2026,101.39,100.5,101.0,100.06,100.5,100.5,100.34,2395,2.4,10,1300.0, 54.28,2026-02-12
667GS2050, GS, 12-Feb-2026,92.5,92.98,92.98,92.7,92.98,92.98,92.71,141,0.13,16,141.0, 100.00,2026-02-12
668GS2040, GS, 12-Feb-2026,97.0,96.8,96.8,96.39,96.4,96.4,96.41,21406,20.64,11,21406.0, 100.00,2026-02-12
675GS2029, GS, 12-Feb-2026,102.5,101.65,101.65,101.65,101.65,101.65,101.65,100,0.1,1,100.0, 100.00,2026-02-12
676GS2061, GS, 12-Feb-2026,94.15,93.75,94.5,93.75,94.5,94.5,93.84,1253,1.18,2,1253.0, 100.00,2026-02-12
679GS2031, GS, 12-Feb-2026,100.5,101.25,101.25,101.25,101.25,101.25,101.25,9000,9.11,3,9000.0, 100.00,2026-02-12
68GS2060, GS, 12-Feb-2026,91.58,92.88,93.2,92.0,92.99,92.03,92.28,1717,1.58,13,1712.0, 99.71,2026-02-12
690GS2065, GS, 12-Feb-2026,94.85,94.94,94.99,94.51,94.98,94.98,94.91,3490,3.31,5,3490.0, 100.00,2026-02-12
695GS2061, GS, 12-Feb-2026,94.5,94.8,94.8,94.5,94.5,94.5,94.5,2901,2.74,2,2901.0, 100.00,2026-02-12
698GR2054, GS, 12-Feb-2026,94.99,94.0,95.49,93.5,95.49,95.49,95.39,6390,6.1,4,6310.0, 98.75,2026-02-12
699GS2051, GS, 12-Feb-2026,96.5,96.0,96.52,96.0,96.52,96.3,96.35,21500,20.72,16,21100.0, 98.14,2026-02-12
702GS2027, GS, 12-Feb-2026,102.01,101.93,102.5,101.93,102.22,102.22,102.03,3861,3.94,7,3859.0, 99.95,2026-02-12
702GS2031, GS, 12-Feb-2026,101.31,101.31,101.42,101.31,101.42,101.42,101.31,1850,1.87,2,1850.0, 100.00,2026-02-12
704GS2029, GS, 12-Feb-2026,103.05,103.05,103.1,103.01,103.1,103.1,103.09,5600,5.77,4,5600.0, 100.00,2026-02-12
706GS2028, GS, 12-Feb-2026,103.8,103.8,103.8,103.75,103.75,103.75,103.75,23100,23.97,4,23100.0, 100.00,2026-02-12
709GS2054, GS, 12-Feb-2026,97.01,97.8,97.8,96.75,97.1,97.1,97.19,1988,1.93,19,1988.0, 100.00,2026-02-12
709GS2074, GS, 12-Feb-2026,96.48,96.7,96.7,96.05,96.7,96.6,96.42,64337,62.03,98,63888.0, 99.30,2026-02-12
710GS2029, GS, 12-Feb-2026,104.87,104.5,104.9,104.5,104.9,104.9,104.87,11118,11.66,5,11118.0, 100.00,2026-02-12
717GS2030, GS, 12-Feb-2026,104.89,104.0,105.25,104.0,105.25,105.25,104.4,11135,11.63,5,11135.0, 100.00,2026-02-12
718GS2037, GS, 12-Feb-2026,102.25,101.96,102.3,101.96,102.27,102.27,102.26,10000,10.23,3,10000.0, 100.00,2026-02-12
719GS2060, GS, 12-Feb-2026,99.1,100.5,100.5,100.5,100.5,100.5,100.5,1019,1.02,1,1019.0, 100.00,2026-02-12
724GS2055, GS, 12-Feb-2026,102.7,101.75,102.65,101.61,102.0,102.0,101.91,9328,9.51,17,8323.0, 89.23,2026-02-12
