SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 03-Jul-2026,103.85,103.85,103.85,103.85,103.85,103.85,103.85,1,0.0,1,1.0, 100.00,2026-07-03
20MICRONS, EQ, 03-Jul-2026,201.78,203.0,209.0,200.05,203.1,204.36,204.96,256365,525.45,5296,100968.0, 39.38,2026-07-03
21STCENMGM, EQ, 03-Jul-2026,31.75,32.0,32.38,31.38,31.4,31.45,32.11,2745,0.88,30,2703.0, 98.47,2026-07-03
360ONE, EQ, 03-Jul-2026,1070.0,1084.0,1120.9,1077.5,1110.0,1109.5,1104.34,1319185,14568.35,49597,582086.0, 44.12,2026-07-03
3BBLACKBIO, EQ, 03-Jul-2026,1205.8,1208.9,1221.4,1168.1,1171.6,1173.5,1180.97,7504,88.62,1232,3890.0, 51.84,2026-07-03
3IINFOLTD, EQ, 03-Jul-2026,17.41,17.75,18.0,17.38,17.74,17.8,17.66,393022,69.39,1128,333688.0, 84.90,2026-07-03
3MINDIA, EQ, 03-Jul-2026,33960.0,34105.0,35360.0,33800.0,35200.0,35235.0,34678.05,13634,4728.01,5906,5572.0, 40.87,2026-07-03
3PLAND, EQ, 03-Jul-2026,32.67,31.25,33.5,31.25,33.45,33.48,32.58,5352,1.74,54,4827.0, 90.19,2026-07-03
574GS2026, GS, 03-Jul-2026,99.93,100.2,100.53,100.11,100.53,100.53,100.13,139,0.14,5,139.0, 100.00,2026-07-03
5PAISA, EQ, 03-Jul-2026,385.3,389.4,398.0,382.7,385.0,387.65,389.32,144817,563.8,4422,75401.0, 52.07,2026-07-03
601GS2030, GS, 03-Jul-2026,107.1,101.75,101.75,101.75,101.75,101.75,101.75,20,0.02,2,20.0, 100.00,2026-07-03
603GS2029, GS, 03-Jul-2026,101.7,101.7,101.7,101.7,101.7,101.7,101.7,200,0.2,2,200.0, 100.00,2026-07-03
63MOONS, EQ, 03-Jul-2026,661.5,666.8,674.8,655.25,658.0,657.9,662.95,90680,601.17,2669,54246.0, 59.82,2026-07-03
648GS2035, GS, 03-Jul-2026,98.64,98.26,98.5,98.26,98.26,98.26,98.34,287,0.28,3,287.0, 100.00,2026-07-03
654GS2032, GS, 03-Jul-2026,101.1,102.79,102.79,102.79,102.79,102.79,102.79,3000,3.08,1,3000.0, 100.00,2026-07-03
667GS2050, GS, 03-Jul-2026,94.25,94.25,94.25,91.75,94.0,94.0,93.55,1061,0.99,5,1061.0, 100.00,2026-07-03
668GS2040, GS, 03-Jul-2026,100.89,100.0,100.0,99.87,99.87,99.87,99.88,12,0.01,3,12.0, 100.00,2026-07-03
676GS2061, GS, 03-Jul-2026,94.4,94.65,94.65,93.8,94.4,94.39,94.34,14606,13.78,17,13600.0, 93.11,2026-07-03
679GS2034A, GS, 03-Jul-2026,96.12,94.55,94.55,94.55,94.55,94.55,94.55,100,0.09,1,100.0, 100.00,2026-07-03
68GS2060, GS, 03-Jul-2026,94.05,94.05,94.05,92.01,94.0,94.0,92.33,447,0.41,4,446.0, 99.78,2026-07-03
690GS2065, GS, 03-Jul-2026,95.1,94.55,95.3,94.55,94.73,94.73,94.83,14805,14.04,16,14805.0, 100.00,2026-07-03
694GS2036, GS, 03-Jul-2026,101.5,101.5,101.5,101.5,101.5,101.5,101.5,300,0.3,3,300.0, 100.00,2026-07-03
695GS2061, GS, 03-Jul-2026,94.95,94.95,95.0,94.95,95.0,95.0,95.0,105,0.1,5,105.0, 100.00,2026-07-03
698GR2054, GS, 03-Jul-2026,91.8,93.0,93.0,92.0,92.0,92.0,92.18,222,0.2,2,222.0, 100.00,2026-07-03
699GS2051, GS, 03-Jul-2026,96.51,97.89,97.9,97.89,97.9,97.9,97.9,1000,0.98,2,1000.0, 100.00,2026-07-03
702GS2027, GS, 03-Jul-2026,101.0,101.0,101.0,101.0,101.0,101.0,101.0,99,0.1,2,99.0, 100.00,2026-07-03
702GS2031, GS, 03-Jul-2026,102.36,100.66,100.66,100.66,100.66,100.66,100.66,100,0.1,1,100.0, 100.00,2026-07-03
704GS2029, GS, 03-Jul-2026,102.8,102.8,102.8,102.8,102.8,102.8,102.8,200,0.21,1,200.0, 100.00,2026-07-03
706GS2028, GS, 03-Jul-2026,102.75,103.25,103.25,102.72,102.9,102.8,102.92,12599,12.97,12,12599.0, 100.00,2026-07-03
709GS2054, GS, 03-Jul-2026,99.99,101.55,101.55,100.0,100.45,100.45,100.42,20968,21.06,22,20520.0, 97.86,2026-07-03
709GS2074, GS, 03-Jul-2026,96.27,96.34,96.34,95.86,96.0,96.0,96.03,94283,90.54,81,91895.0, 97.47,2026-07-03
710GS2029, GS, 03-Jul-2026,103.75,103.5,103.72,103.5,103.5,103.5,103.55,6018,6.23,5,6018.0, 100.00,2026-07-03
717GS2030, GS, 03-Jul-2026,103.0,103.0,103.8,103.0,103.8,103.8,103.79,2180,2.26,4,2180.0, 100.00,2026-07-03
718GS2037, GS, 03-Jul-2026,105.0,105.0,106.15,105.0,105.2,105.2,105.02,6200,6.51,6,6100.0, 98.39,2026-07-03
71GS2034, GS, 03-Jul-2026,103.95,103.0,103.03,103.0,103.03,103.02,103.0,15600,16.07,9,15600.0, 100.00,2026-07-03
723GS2039, GS, 03-Jul-2026,105.0,104.4,104.4,103.65,103.65,103.65,104.29,5900,6.15,2,5900.0, 100.00,2026-07-03
724GS2055, GS, 03-Jul-2026,101.76,101.72,102.1,101.2,102.0,102.06,101.99,61110,62.32,40,60580.0, 99.13,2026-07-03
725GS2063, GS, 03-Jul-2026,98.59,98.06,98.49,98.06,98.45,98.44,98.33,99149,97.49,86,92945.0, 93.74,2026-07-03
726GS2032, GS, 03-Jul-2026,106.15,106.4,106.4,106.0,106.14,106.14,106.15,9800,10.4,5,9800.0, 100.00,2026-07-03
732GS2030, GS, 03-Jul-2026,103.01,102.63,102.63,102.63,102.63,102.63,102.63,300,0.31,1,300.0, 100.00,2026-07-03
733GS2026, GS, 03-Jul-2026,101.21,101.17,101.17,101.17,101.17,101.17,101.17,124,0.13,2,124.0, 100.00,2026-07-03
734GS2064, GS, 03-Jul-2026,100.28,100.12,100.5,100.0,100.14,100.14,100.14,86880,87.0,45,74550.0, 85.81,2026-07-03
738GS2027, GS, 03-Jul-2026,101.88,101.8,101.98,101.5,101.81,101.89,101.63,561412,570.54,72,480110.0, 85.52,2026-07-03
73GS2053, GS, 03-Jul-2026,100.1,100.5,100.5,100.0,100.16,100.0,100.27,45428,45.55,26,45318.0, 99.76,2026-07-03
740IIFCL33, N1, 03-Jul-2026,1134.1,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1266,14.43,3,1266.0, 100.00,2026-07-03
741GS2036, GS, 03-Jul-2026,104.65,104.65,106.44,104.16,104.25,104.27,104.88,8426,8.84,15,7936.0, 94.18,2026-07-03
743GS2076, GS, 03-Jul-2026,105.0,104.9,104.9,103.5,103.55,103.55,103.57,177357,183.68,47,167257.0, 94.31,2026-07-03
