SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 06-May-2026,104.6,104.6,104.6,104.59,104.59,104.59,104.6,25,0.03,4,25.0, 100.00,2026-05-06
20MICRONS, EQ, 06-May-2026,180.25,182.4,184.13,178.0,183.1,182.32,182.28,109136,198.93,2188,60896.0, 55.80,2026-05-06
21STCENMGM, EQ, 06-May-2026,35.96,36.62,36.62,35.25,35.25,35.25,35.27,3164,1.12,33,2936.0, 92.79,2026-05-06
360ONE, EQ, 06-May-2026,1070.7,1079.8,1097.6,1075.0,1084.9,1084.1,1082.15,2173450,23519.9,31255,1482818.0, 68.22,2026-05-06
3BBLACKBIO, EQ, 06-May-2026,1283.0,1296.7,1325.0,1269.0,1325.0,1318.0,1303.83,10341,134.83,1207,8129.0, 78.61,2026-05-06
3IINFOLTD, EQ, 06-May-2026,17.08,17.12,17.58,17.12,17.45,17.43,17.35,221648,38.45,1191,124747.0, 56.28,2026-05-06
3MINDIA, EQ, 06-May-2026,32425.0,32505.0,32795.0,31995.0,32520.0,32525.0,32330.5,2929,946.96,1611,1405.0, 47.97,2026-05-06
3PLAND, EQ, 06-May-2026,34.48,34.5,35.8,34.5,35.18,35.25,35.18,1079,0.38,55,791.0, 73.31,2026-05-06
574GS2026, GS, 06-May-2026,101.97,99.93,101.99,99.93,101.99,101.99,100.96,2,0.0,2,1.0, 50.00,2026-05-06
5PAISA, EQ, 06-May-2026,333.3,336.05,344.0,333.5,340.0,339.4,338.78,31529,106.82,1285,14688.0, 46.59,2026-05-06
601GS2030, GS, 06-May-2026,99.1,98.5,98.5,98.5,98.5,98.5,98.5,400,0.39,2,400.0, 100.00,2026-05-06
610GS2031, GS, 06-May-2026,102.0,99.0,102.0,97.0,102.0,102.0,99.0,999,0.99,5,998.0, 99.90,2026-05-06
628GS2032, GS, 06-May-2026,98.65,98.65,98.65,98.65,98.65,98.65,98.65,400,0.39,3,400.0, 100.00,2026-05-06
633GS2035, GS, 06-May-2026,98.5,97.0,97.0,97.0,97.0,97.0,97.0,5000,4.85,1,5000.0, 100.00,2026-05-06
636GS2031, GS, 06-May-2026,98.8,98.56,98.8,98.56,98.8,98.8,98.77,700,0.69,5,600.0, 85.71,2026-05-06
63MOONS, EQ, 06-May-2026,733.75,739.55,744.55,730.85,743.25,740.9,737.98,76749,566.39,3019,32430.0, 42.25,2026-05-06
654GS2032, GS, 06-May-2026,99.5,100.9,100.9,99.75,99.75,99.75,100.15,1009,1.01,6,1003.0, 99.41,2026-05-06
667GS2050, GS, 06-May-2026,94.3,94.9,94.9,94.9,94.9,94.9,94.9,5,0.0,2,5.0, 100.00,2026-05-06
668GS2040, GS, 06-May-2026,96.7,96.7,97.49,96.7,96.99,96.99,96.94,2171,2.1,23,2171.0, 100.00,2026-05-06
676GS2061, GS, 06-May-2026,91.22,91.8,91.8,91.0,91.3,91.3,91.2,5813,5.3,12,5813.0, 100.00,2026-05-06
679GS2034, GS, 06-May-2026,99.97,98.75,98.75,98.75,98.75,98.75,98.75,100,0.1,1,100.0, 100.00,2026-05-06
68GS2060, GS, 06-May-2026,95.79,93.0,95.79,93.0,95.79,95.79,93.01,311,0.29,3,311.0, 100.00,2026-05-06
