SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 13-Feb-2026,106.0,105.1,105.1,105.1,105.1,105.1,105.1,400,0.42,2,400.0, 100.00,2026-02-13
20MICRONS, EQ, 13-Feb-2026,187.23,185.0,186.11,180.1,180.36,181.07,182.24,76537,139.48,2354,33188.0, 43.36,2026-02-13
21STCENMGM, EQ, 13-Feb-2026,38.78,38.2,39.49,38.01,38.05,38.28,38.62,1372,0.53,61,1273.0, 92.78,2026-02-13
360ONE, EQ, 13-Feb-2026,1144.4,1136.3,1146.2,1115.6,1126.7,1126.8,1127.43,471438,5315.15,30541,271579.0, 57.61,2026-02-13
3IINFOLTD, EQ, 13-Feb-2026,15.5,15.25,16.36,15.1,15.79,15.92,15.83,617915,97.8,2356,372979.0, 60.36,2026-02-13
3MINDIA, EQ, 13-Feb-2026,37515.0,36995.0,36995.0,34705.0,35050.0,35115.0,35741.22,9115,3257.81,5080,4415.0, 48.44,2026-02-13
3PLAND, EQ, 13-Feb-2026,34.48,34.75,34.75,32.8,34.73,34.7,34.32,657,0.23,71,536.0, 81.58,2026-02-13
5PAISA, EQ, 13-Feb-2026,331.2,331.0,331.25,321.0,322.05,323.45,324.78,34876,113.27,1404,16437.0, 47.13,2026-02-13
601GS2030, GS, 13-Feb-2026,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2,0.0,2,2.0, 100.00,2026-02-13
610GS2031, GS, 13-Feb-2026,98.25,98.25,98.25,98.25,98.25,98.25,98.25,1,0.0,1,1.0, 100.00,2026-02-13
622GS2035, GS, 13-Feb-2026,96.29,97.37,97.37,96.4,96.4,96.4,96.45,2000,1.93,6,2000.0, 100.00,2026-02-13
633GS2035, GS, 13-Feb-2026,99.7,99.7,99.7,99.7,99.7,99.7,99.7,8,0.01,1,8.0, 100.00,2026-02-13
63MOONS, EQ, 13-Feb-2026,688.7,687.0,696.45,665.0,690.0,687.0,683.26,129989,888.17,5541,49931.0, 38.41,2026-02-13
648GS2035, GS, 13-Feb-2026,99.9,101.0,101.0,100.35,100.35,100.35,100.52,202601,203.65,24,202600.0, 100.00,2026-02-13
654GS2032, GS, 13-Feb-2026,100.45,99.8,99.8,99.8,99.8,99.8,99.8,5000,4.99,3,5000.0, 100.00,2026-02-13
664GS2035, GS, 13-Feb-2026,99.2,99.5,99.5,99.5,99.5,99.5,99.5,2000,1.99,1,2000.0, 100.00,2026-02-13
667GS2035, GS, 13-Feb-2026,100.5,100.7,105.52,100.51,105.52,105.52,100.58,101,0.1,20,101.0, 100.00,2026-02-13
667GS2050, GS, 13-Feb-2026,92.98,93.4,93.4,93.0,93.0,93.0,93.01,56,0.05,3,56.0, 100.00,2026-02-13
668GS2033, GS, 13-Feb-2026,98.7,99.09,99.09,99.09,99.09,99.09,99.09,95,0.09,1,95.0, 100.00,2026-02-13
668GS2040, GS, 13-Feb-2026,96.4,96.0,97.35,96.0,97.0,97.0,96.46,16001,15.43,11,15876.0, 99.22,2026-02-13
675GS2029, GS, 13-Feb-2026,101.65,101.16,101.16,101.16,101.16,101.16,101.16,100,0.1,1,100.0, 100.00,2026-02-13
676GS2061, GS, 13-Feb-2026,94.5,94.4,94.8,94.4,94.8,94.8,94.53,4650,4.4,3,4650.0, 100.00,2026-02-13
679GS2034A, GS, 13-Feb-2026,91.0,90.0,90.0,90.0,90.0,90.0,90.0,100,0.09,1,100.0, 100.00,2026-02-13
690GS2065, GS, 13-Feb-2026,94.98,95.3,95.3,95.0,95.19,95.19,95.05,62913,59.8,25,62913.0, 100.00,2026-02-13
692GS2039, GS, 13-Feb-2026,100.75,99.0,99.0,99.0,99.0,99.0,99.0,627,0.62,4,627.0, 100.00,2026-02-13
695GS2061, GS, 13-Feb-2026,94.5,94.39,95.5,94.0,94.0,94.0,94.27,14317,13.5,5,14308.0, 99.94,2026-02-13
698GR2054, GS, 13-Feb-2026,95.49,94.0,95.0,94.0,95.0,95.0,94.8,1255,1.19,4,1255.0, 100.00,2026-02-13
699GS2026, GS, 13-Feb-2026,102.23,102.33,102.33,101.99,102.01,102.01,102.02,4100,4.18,3,4100.0, 100.00,2026-02-13
699GS2051, GS, 13-Feb-2026,96.3,96.49,96.49,96.0,96.1,96.1,96.09,10030,9.64,8,9030.0, 90.03,2026-02-13
702GS2027, GS, 13-Feb-2026,102.22,101.82,102.22,101.82,102.22,102.22,102.15,600,0.61,2,600.0, 100.00,2026-02-13
702GS2031, GS, 13-Feb-2026,101.42,101.31,101.31,101.31,101.31,101.31,101.31,200,0.2,1,200.0, 100.00,2026-02-13
706GS2028, GS, 13-Feb-2026,103.75,103.75,103.75,103.75,103.75,103.75,103.75,9900,10.27,2,9900.0, 100.00,2026-02-13
709GS2054, GS, 13-Feb-2026,97.1,96.56,97.49,96.5,97.49,97.49,97.28,4245,4.13,9,3946.0, 92.96,2026-02-13
709GS2074, GS, 13-Feb-2026,96.6,96.33,96.9,96.3,96.52,96.6,96.48,107312,103.53,39,107312.0, 100.00,2026-02-13
