SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 03-Jun-2026,104.84,102.21,104.75,102.21,103.0,103.0,103.0,117,0.12,11,65.0, 55.56,2026-06-03
20MICRONS, EQ, 03-Jun-2026,183.64,182.95,190.59,180.83,188.36,188.95,187.64,276032,517.93,4768,115564.0, 41.87,2026-06-03
21STCENMGM, EQ, 03-Jun-2026,33.81,33.15,34.45,33.15,33.15,33.16,33.73,4066,1.37,53,3511.0, 86.35,2026-06-03
360ONE, EQ, 03-Jun-2026,1089.2,1082.5,1085.6,1049.2,1070.5,1072.5,1066.36,765530,8163.28,53470,439575.0, 57.42,2026-06-03
3BBLACKBIO, EQ, 03-Jun-2026,1113.5,1123.9,1149.0,1117.6,1149.0,1138.9,1129.73,12025,135.85,756,9854.0, 81.95,2026-06-03
3IINFOLTD, EQ, 03-Jun-2026,17.4,17.15,17.47,17.06,17.24,17.16,17.19,158735,27.29,932,115344.0, 72.66,2026-06-03
3MINDIA, EQ, 03-Jun-2026,32610.0,32520.0,32700.0,32210.0,32550.0,32445.0,32382.73,1512,489.63,970,484.0, 32.01,2026-06-03
3PLAND, EQ, 03-Jun-2026,31.85,31.8,32.39,31.4,32.39,32.21,32.03,1059,0.34,72,921.0, 86.97,2026-06-03
574GS2026, GS, 03-Jun-2026,99.66,100.27,100.27,99.15,99.5,99.5,99.62,297,0.3,6,101.0, 34.01,2026-06-03
5PAISA, EQ, 03-Jun-2026,324.75,328.0,328.0,318.0,325.2,325.05,322.4,23480,75.7,1142,7732.0, 32.93,2026-06-03
613GS2028, GS, 03-Jun-2026,99.0,99.5,99.5,99.5,99.5,99.5,99.5,1,0.0,1,1.0, 100.00,2026-06-03
619GS2034, GS, 03-Jun-2026,95.2,96.5,96.5,96.0,96.0,96.0,96.15,165000,158.65,3,165000.0, 100.00,2026-06-03
622GS2035, GS, 03-Jun-2026,94.0,94.02,94.02,93.67,93.67,93.67,93.97,547,0.51,4,547.0, 100.00,2026-06-03
628GS2032, GS, 03-Jun-2026,97.21,98.9,98.9,98.9,98.9,98.9,98.9,2,0.0,1,2.0, 100.00,2026-06-03
633GS2035, GS, 03-Jun-2026,94.25,98.0,98.0,98.0,98.0,98.0,98.0,192,0.19,2,192.0, 100.00,2026-06-03
63MOONS, EQ, 03-Jun-2026,624.15,623.8,628.0,604.0,619.0,618.4,612.36,121600,744.63,4096,59023.0, 48.54,2026-06-03
