SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 21-May-2026,103.3,104.74,104.74,104.74,104.74,104.74,104.74,1242,1.3,2,1242.0, 100.00,2026-05-21
20MICRONS, EQ, 21-May-2026,179.36,182.05,182.05,174.0,178.4,174.96,177.4,113230,200.87,2493,56060.0, 49.51,2026-05-21
21STCENMGM, EQ, 21-May-2026,31.49,32.0,32.11,31.54,31.61,31.61,32.0,1268,0.41,19,1267.0, 99.92,2026-05-21
360ONE, EQ, 21-May-2026,1107.4,1118.8,1131.0,1105.2,1112.6,1111.8,1121.48,833753,9350.39,26567,393221.0, 47.16,2026-05-21
3BBLACKBIO, EQ, 21-May-2026,1263.0,1245.8,1291.2,1176.1,1200.0,1201.8,1219.86,15062,183.74,2204,7669.0, 50.92,2026-05-21
3IINFOLTD, EQ, 21-May-2026,17.64,17.7,17.74,17.52,17.6,17.62,17.67,281039,49.65,681,223777.0, 79.62,2026-05-21
3MINDIA, EQ, 21-May-2026,31140.0,31425.0,32650.0,30800.0,32240.0,32200.0,31769.05,9817,3118.77,5068,2726.0, 27.77,2026-05-21
3PLAND, EQ, 21-May-2026,32.49,32.7,32.7,31.0,31.64,31.66,31.94,6646,2.12,155,4774.0, 71.83,2026-05-21
574GS2026, GS, 21-May-2026,100.22,101.0,101.0,99.45,99.45,99.45,99.99,3,0.0,3,1.0, 33.33,2026-05-21
5PAISA, EQ, 21-May-2026,310.6,315.8,323.9,310.65,322.0,318.65,318.62,37332,118.95,1830,13764.0, 36.87,2026-05-21
601GS2030, GS, 21-May-2026,101.0,101.0,101.0,98.61,99.3,99.3,99.21,1400,1.39,4,1200.0, 85.71,2026-05-21
610GS2031, GS, 21-May-2026,98.0,99.5,99.5,99.5,99.5,99.5,99.5,1,0.0,1,1.0, 100.00,2026-05-21
628GS2032, GS, 21-May-2026,98.15,98.15,98.15,98.15,98.15,98.15,98.15,200,0.2,1,200.0, 100.00,2026-05-21
