SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 20-Apr-2026,103.1,101.18,103.8,101.18,102.0,102.0,102.35,10906,11.16,21,9545.0, 87.52,2026-04-20
20MICRONS, EQ, 20-Apr-2026,184.09,184.43,187.0,175.2,175.41,177.22,179.57,176570,317.07,3126,74047.0, 41.94,2026-04-20
21STCENMGM, EQ, 20-Apr-2026,32.41,33.05,33.05,33.05,33.05,33.05,33.05,612,0.2,10,612.0, 100.00,2026-04-20
360ONE, EQ, 20-Apr-2026,1113.3,1107.7,1127.65,1096.75,1105.0,1109.25,1109.07,671866,7451.44,30688,313927.0, 46.72,2026-04-20
3BBLACKBIO, EQ, 20-Apr-2026,1309.9,1329.55,1346.85,1281.1,1299.0,1301.9,1320.31,4965,65.55,714,3401.0, 68.50,2026-04-20
3IINFOLTD, EQ, 20-Apr-2026,17.46,17.95,17.95,17.38,17.55,17.65,17.58,514878,90.52,1248,400043.0, 77.70,2026-04-20
3MINDIA, EQ, 20-Apr-2026,31410.0,31320.0,31750.0,30910.0,31320.0,31480.0,31383.35,2882,904.47,1565,1171.0, 40.63,2026-04-20
3PLAND, EQ, 20-Apr-2026,36.25,36.4,36.4,33.25,34.41,34.71,34.56,16683,5.77,259,11160.0, 66.89,2026-04-20
574GS2026, GS, 20-Apr-2026,102.7,100.13,103.4,100.13,103.4,103.4,101.9,159,0.16,4,151.0, 94.97,2026-04-20
591GS2028, GS, 20-Apr-2026,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0.1,1,100.0, 100.00,2026-04-20
5PAISA, EQ, 20-Apr-2026,323.19,322.01,327.0,314.49,316.5,318.99,318.43,41887,133.38,1659,23063.0, 55.06,2026-04-20
603GS2029, GS, 20-Apr-2026,98.6,98.6,98.6,98.21,98.21,98.21,98.41,200,0.2,2,200.0, 100.00,2026-04-20
622GS2035, GS, 20-Apr-2026,95.27,95.69,95.7,95.69,95.7,95.69,95.7,500,0.48,2,500.0, 100.00,2026-04-20
633GS2035, GS, 20-Apr-2026,98.25,98.25,98.25,98.25,98.25,98.25,98.25,4,0.0,1,4.0, 100.00,2026-04-20
63MOONS, EQ, 20-Apr-2026,662.7,671.0,727.0,665.05,700.2,700.45,698.86,612451,4280.15,18962,214505.0, 35.02,2026-04-20
