SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 08-May-2026,104.5,101.18,103.5,101.18,103.5,103.5,101.99,1027,1.05,8,564.0, 54.92,2026-05-08
20MICRONS, EQ, 08-May-2026,184.2,185.0,187.04,180.65,182.89,181.81,183.55,87277,160.19,2410,35673.0, 40.87,2026-05-08
21STCENMGM, EQ, 08-May-2026,34.7,34.5,35.31,34.25,34.39,34.65,34.79,3128,1.09,45,3123.0, 99.84,2026-05-08
360ONE, EQ, 08-May-2026,1111.7,1112.9,1134.9,1105.7,1114.4,1118.5,1121.41,732727,8216.9,20616,337781.0, 46.10,2026-05-08
3BBLACKBIO, EQ, 08-May-2026,1299.6,1308.3,1308.3,1261.6,1299.0,1294.1,1294.72,6570,85.06,352,5811.0, 88.45,2026-05-08
3IINFOLTD, EQ, 08-May-2026,17.67,17.67,18.95,17.5,18.29,18.11,18.31,956978,175.19,2860,492551.0, 51.47,2026-05-08
3MINDIA, EQ, 08-May-2026,32650.0,32700.0,32700.0,32000.0,32070.0,32045.0,32178.89,2139,688.31,1306,1097.0, 51.29,2026-05-08
3PLAND, EQ, 08-May-2026,36.0,36.05,36.3,34.0,36.3,36.18,35.09,6600,2.32,149,4952.0, 75.03,2026-05-08
574GS2026, GS, 08-May-2026,103.9,103.9,103.9,103.9,103.9,103.9,103.9,1,0.0,1,1.0, 100.00,2026-05-08
579GS2030, GS, 08-May-2026,100.37,97.04,97.04,97.04,97.04,97.04,97.04,20,0.02,1,20.0, 100.00,2026-05-08
5PAISA, EQ, 08-May-2026,339.95,342.8,342.8,332.0,335.5,335.05,335.41,29285,98.22,1265,15375.0, 52.50,2026-05-08
601GS2028, GS, 08-May-2026,98.8,100.08,100.08,98.78,99.2,99.2,99.35,60,0.06,3,0.0, 0.00,2026-05-08
601GS2030, GS, 08-May-2026,98.5,98.11,99.25,98.11,99.25,99.25,98.68,200,0.2,2,100.0, 50.00,2026-05-08
610GS2031, GS, 08-May-2026,102.0,102.0,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1.0, 100.00,2026-05-08
63MOONS, EQ, 08-May-2026,741.0,741.0,753.0,715.35,723.45,723.65,730.46,68535,500.62,2953,46863.0, 68.38,2026-05-08
648GS2035, GS, 08-May-2026,97.17,97.0,97.1,97.0,97.1,97.1,97.07,300,0.29,4,300.0, 100.00,2026-05-08
664GS2027, GS, 08-May-2026,101.91,101.91,102.25,101.91,102.25,102.25,102.08,200,0.2,2,100.0, 50.00,2026-05-08
668GS2040, GS, 08-May-2026,96.99,97.0,97.0,96.95,96.95,96.95,96.95,100,0.1,2,100.0, 100.00,2026-05-08
675GS2029, GS, 08-May-2026,102.05,103.2,103.2,103.2,103.2,103.2,103.2,11500,11.87,1,11500.0, 100.00,2026-05-08
676GS2061, GS, 08-May-2026,91.2,91.8,91.8,91.5,91.79,91.79,91.71,5519,5.06,8,5519.0, 100.00,2026-05-08
679GS2034, GS, 08-May-2026,98.75,100.25,100.25,99.25,99.25,99.25,100.16,18100,18.13,7,18100.0, 100.00,2026-05-08
679GS2034A, GS, 08-May-2026,96.0,96.0,96.0,96.0,96.0,96.0,96.0,100,0.1,1,100.0, 100.00,2026-05-08
68GS2060, GS, 08-May-2026,95.79,95.79,95.79,95.79,95.79,95.79,95.79,2,0.0,2,2.0, 100.00,2026-05-08
690GS2065, GS, 08-May-2026,91.8,91.8,91.97,91.23,91.94,91.94,91.81,42990,39.47,33,39587.0, 92.08,2026-05-08
695GS2061, GS, 08-May-2026,94.5,94.5,94.5,94.5,94.5,94.5,94.5,2648,2.5,6,2648.0, 100.00,2026-05-08
699GS2051, GS, 08-May-2026,96.03,97.95,97.95,96.11,96.11,96.12,97.54,435,0.42,7,403.0, 92.64,2026-05-08
706GS2028, GS, 08-May-2026,101.55,101.9,101.9,101.9,101.9,101.9,101.9,500,0.51,1,500.0, 100.00,2026-05-08
709GS2054, GS, 08-May-2026,97.5,97.51,97.51,96.7,96.7,97.14,97.27,76349,74.26,28,76345.0, 99.99,2026-05-08
709GS2074, GS, 08-May-2026,96.91,96.4,97.5,96.4,97.4,97.4,96.6,1116,1.08,8,1114.0, 99.82,2026-05-08
710GS2029, GS, 08-May-2026,101.99,101.86,101.86,101.86,101.86,101.86,101.86,10000,10.19,1,10000.0, 100.00,2026-05-08
716GS2050, GS, 08-May-2026,99.2,99.2,99.2,99.2,99.2,99.2,99.2,18,0.02,1,18.0, 100.00,2026-05-08
717GS2030, GS, 08-May-2026,103.0,102.1,102.5,102.1,102.1,102.1,102.1,24800,25.32,12,24800.0, 100.00,2026-05-08
718GS2033, GS, 08-May-2026,102.4,103.5,103.5,103.25,103.25,103.25,103.47,17000,17.59,13,17000.0, 100.00,2026-05-08
718GS2037, GS, 08-May-2026,103.4,103.58,103.7,103.55,103.65,103.59,103.6,51502,53.35,12,51002.0, 99.03,2026-05-08
719GS2060, GS, 08-May-2026,98.0,100.41,100.41,100.41,100.41,100.41,100.41,1,0.0,1,1.0, 100.00,2026-05-08
71GS2034, GS, 08-May-2026,101.9,100.05,100.05,100.05,100.05,100.05,100.05,112,0.11,4,106.0, 94.64,2026-05-08
723GS2039, GS, 08-May-2026,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100,0.1,1,100.0, 100.00,2026-05-08
724GS2055, GS, 08-May-2026,98.5,98.9,98.9,98.55,98.66,98.67,98.72,5027,4.96,8,4527.0, 90.05,2026-05-08
725GS2063, GS, 08-May-2026,99.1,99.7,99.7,98.75,98.78,98.8,98.86,315145,311.54,114,283808.0, 90.06,2026-05-08
726GS2032, GS, 08-May-2026,103.59,103.0,103.0,103.0,103.0,103.0,103.0,1,0.0,1,1.0, 100.00,2026-05-08
734GS2064, GS, 08-May-2026,97.28,97.5,97.5,96.65,97.26,97.21,97.12,7700,7.48,23,6690.0, 86.88,2026-05-08
736GS2052, GS, 08-May-2026,101.0,97.0,97.0,97.0,97.0,97.0,97.0,99,0.1,1,99.0, 100.00,2026-05-08
737GR2054, GS, 08-May-2026,102.0,102.0,102.0,102.0,102.0,102.0,102.0,200,0.2,2,200.0, 100.00,2026-05-08
737GS2028, GS, 08-May-2026,102.6,102.0,102.5,102.0,102.11,102.11,102.43,1105,1.13,5,1025.0, 92.76,2026-05-08
738GS2027, GS, 08-May-2026,104.15,104.1,104.15,104.05,104.15,104.15,104.12,15383,16.02,10,15383.0, 100.00,2026-05-08
73GS2053, GS, 08-May-2026,101.99,101.0,101.0,101.0,101.0,101.0,101.0,1000,1.01,2,1000.0, 100.00,2026-05-08
741GS2036, GS, 08-May-2026,105.5,105.52,105.52,105.0,105.5,105.47,105.16,19118,20.1,13,18510.0, 96.82,2026-05-08
743GS2076, GS, 08-May-2026,100.5,98.85,101.1,98.85,101.1,101.1,98.86,25108,24.82,2,25108.0, 100.00,2026-05-08
746GS2073, GS, 08-May-2026,99.75,100.5,100.5,100.01,100.01,100.01,100.04,3100,3.1,6,3100.0, 100.00,2026-05-08
74GS2035, GS, 08-May-2026,101.84,102.0,102.0,102.0,102.0,102.0,102.0,76,0.08,1,76.0, 100.00,2026-05-08
750GS2056, GS, 08-May-2026,100.0,100.0,100.0,98.9,98.9,98.9,98.93,284,0.28,4,284.0, 100.00,2026-05-08
754GS2036, GS, 08-May-2026,107.62,107.62,107.65,107.15,107.4,107.4,107.44,773387,830.89,143,640633.0, 82.83,2026-05-08
832GS2032, GS, 08-May-2026,109.0,109.0,109.0,108.98,108.98,108.98,109.0,20100,21.91,47,16350.0, 81.34,2026-05-08
833GS2026, GS, 08-May-2026,103.0,103.0,103.0,103.0,103.0,103.0,103.0,1,0.0,1,1.0, 100.00,2026-05-08
883GS2041, GS, 08-May-2026,115.09,120.0,120.0,120.0,120.0,120.0,120.0,250,0.3,1,250.0, 100.00,2026-05-08
897GS2030, GS, 08-May-2026,115.0,114.2,114.9,114.2,114.9,114.9,114.73,2000,2.29,5,2000.0, 100.00,2026-05-08
92GS2030, GS, 08-May-2026,112.49,112.5,112.5,111.59,112.49,111.98,112.46,14821,16.67,12,14320.0, 96.62,2026-05-08
A2ZINFRA, BE, 08-May-2026,16.61,16.84,16.84,16.13,16.5,16.18,16.42,220487,36.19,442,, -,2026-05-08
AAATECH, EQ, 08-May-2026,100.99,101.8,101.88,98.26,99.95,99.34,100.61,14103,14.19,308,9653.0, 68.45,2026-05-08
AADHARHFC, EQ, 08-May-2026,500.45,501.5,506.25,497.3,502.75,501.4,502.25,301895,1516.27,10295,170844.0, 56.59,2026-05-08
AAKASH, BE, 08-May-2026,8.2,8.2,8.29,8.1,8.19,8.11,8.14,129827,10.57,307,, -,2026-05-08
AARADHYA, SM, 08-May-2026,107.8,107.0,107.0,107.0,107.0,107.0,107.0,1200,1.28,1,1200.0, 100.00,2026-05-08
AAREYDRUGS, BE, 08-May-2026,88.0,89.58,92.4,86.2,92.0,92.12,91.76,280597,257.47,504,, -,2026-05-08
AARNAV, EQ, 08-May-2026,23.22,23.33,24.0,22.52,22.52,22.86,23.88,453681,108.34,427,421356.0, 92.87,2026-05-08
