SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 04-May-2026,102.36,102.77,104.6,102.77,104.6,104.6,103.07,873,0.9,6,873.0, 100.00,2026-05-04
20MICRONS, EQ, 04-May-2026,176.89,177.11,180.7,176.63,178.71,179.21,178.63,56050,100.12,1424,27426.0, 48.93,2026-05-04
21STCENMGM, EQ, 04-May-2026,36.58,37.25,37.25,35.91,36.69,36.69,36.56,593,0.22,43,428.0, 72.18,2026-05-04
360ONE, EQ, 04-May-2026,1034.65,1041.0,1072.4,1033.4,1069.0,1066.5,1062.64,2455293,26091.0,70441,1226067.0, 49.94,2026-05-04
3BBLACKBIO, EQ, 04-May-2026,1199.3,1203.3,1267.2,1203.3,1262.0,1258.5,1238.18,3855,47.73,937,2670.0, 69.26,2026-05-04
3IINFOLTD, EQ, 04-May-2026,17.46,17.74,17.74,17.24,17.46,17.33,17.4,118138,20.56,884,62840.0, 53.19,2026-05-04
3MINDIA, EQ, 04-May-2026,33300.0,33300.0,33640.0,32845.0,33115.0,33080.0,33298.5,2157,718.25,1312,814.0, 37.74,2026-05-04
3PLAND, EQ, 04-May-2026,35.02,35.74,36.28,33.0,34.99,34.25,34.52,1973,0.68,78,1485.0, 75.27,2026-05-04
574GS2026, GS, 04-May-2026,103.9,101.97,101.97,101.97,101.97,101.97,101.97,1,0.0,1,1.0, 100.00,2026-05-04
5PAISA, EQ, 04-May-2026,335.49,337.05,354.45,333.1,335.15,336.4,342.17,49643,169.86,2157,18669.0, 37.61,2026-05-04
610GS2031, GS, 04-May-2026,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1,0.0,1,1.0, 100.00,2026-05-04
622GS2035, GS, 04-May-2026,95.0,93.14,93.14,93.14,93.14,93.14,93.14,200,0.19,1,200.0, 100.00,2026-05-04
633GS2035, GS, 04-May-2026,99.5,99.5,99.5,98.5,98.5,98.5,98.61,188,0.19,3,188.0, 100.00,2026-05-04
63MOONS, EQ, 04-May-2026,746.65,742.0,757.0,731.0,745.0,746.25,744.27,111402,829.13,4700,50332.0, 45.18,2026-05-04
648GS2035, GS, 04-May-2026,98.0,95.41,98.0,95.41,98.0,98.0,97.3,692408,673.71,13,692308.0, 99.99,2026-05-04
654GS2032, GS, 04-May-2026,99.53,99.51,99.51,99.5,99.5,99.5,99.5,100,0.1,2,100.0, 100.00,2026-05-04
667GS2050, GS, 04-May-2026,94.3,94.3,94.3,94.3,94.3,94.3,94.3,1,0.0,1,1.0, 100.00,2026-05-04
668GS2040, GS, 04-May-2026,96.5,97.0,97.0,97.0,97.0,97.0,97.0,100,0.1,3,100.0, 100.00,2026-05-04
675GS2029, GS, 04-May-2026,102.05,102.05,102.05,102.05,102.05,102.05,102.05,100,0.1,1,100.0, 100.00,2026-05-04
676GS2061, GS, 04-May-2026,91.07,91.8,91.8,90.0,90.0,90.02,90.72,25405,23.05,33,24405.0, 96.06,2026-05-04
679GS2034, GS, 04-May-2026,99.75,99.7,99.7,99.7,99.7,99.7,99.7,200,0.2,2,200.0, 100.00,2026-05-04
690GS2065, GS, 04-May-2026,90.91,91.25,91.44,91.25,91.26,91.28,91.32,58017,52.98,57,57917.0, 99.83,2026-05-04
