SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 27-Mar-2026,102.25,102.25,102.25,102.24,102.24,102.24,102.25,263,0.27,3,263.0, 100.00,2026-03-27
20MICRONS, EQ, 27-Mar-2026,151.67,150.01,150.92,137.61,139.97,140.72,143.34,257213,368.7,4427,148317.0, 57.66,2026-03-27
21STCENMGM, EQ, 27-Mar-2026,30.09,30.09,30.09,29.49,29.49,29.49,29.58,10616,3.14,65,9257.0, 87.20,2026-03-27
360ONE, EQ, 27-Mar-2026,1002.1,998.0,998.9,969.8,975.0,977.4,978.84,602539,5897.92,35236,330059.0, 54.78,2026-03-27
3IINFOLTD, EQ, 27-Mar-2026,13.61,13.61,13.8,13.35,13.5,13.5,13.53,1901006,257.24,1428,1638464.0, 86.19,2026-03-27
3MINDIA, EQ, 27-Mar-2026,31790.0,31785.0,31785.0,30710.0,30805.0,30865.0,31130.27,3530,1098.9,2469,1583.0, 44.84,2026-03-27
3PLAND, EQ, 27-Mar-2026,31.14,30.85,31.14,28.54,29.5,28.72,30.0,28765,8.63,132,25481.0, 88.58,2026-03-27
563GS2026, GS, 27-Mar-2026,101.61,106.69,106.69,102.41,102.41,102.41,104.55,10,0.01,2,5.0, 50.00,2026-03-27
574GS2026, GS, 27-Mar-2026,101.37,101.46,101.46,101.46,101.46,101.46,101.46,1,0.0,1,1.0, 100.00,2026-03-27
579GS2030, GS, 27-Mar-2026,99.1,97.89,97.89,95.44,95.44,95.44,97.43,123,0.12,2,123.0, 100.00,2026-03-27
585GS2030, GS, 27-Mar-2026,98.2,98.45,98.45,98.45,98.45,98.45,98.45,264,0.26,2,264.0, 100.00,2026-03-27
5PAISA, EQ, 27-Mar-2026,274.9,273.0,274.9,258.0,261.0,261.75,265.45,89973,238.84,3700,51972.0, 57.76,2026-03-27
5PAISA-RE, BE, 27-Mar-2026,0.05,0.1,0.1,0.1,0.1,0.1,0.1,14853,0.01,175,, -,2026-03-27
601GS2030, GS, 27-Mar-2026,98.8,98.8,98.8,98.7,98.7,98.7,98.7,1825,1.8,3,1825.0, 100.00,2026-03-27
622GS2035, GS, 27-Mar-2026,94.99,94.01,94.01,93.0,93.0,93.0,93.2,500,0.47,3,500.0, 100.00,2026-03-27
633GS2035, GS, 27-Mar-2026,98.5,98.5,98.5,98.5,98.5,98.5,98.5,200,0.2,2,200.0, 100.00,2026-03-27
63MOONS, EQ, 27-Mar-2026,505.15,504.0,506.55,479.0,494.0,487.85,489.0,483766,2365.59,13374,308686.0, 63.81,2026-03-27
648GS2035, GS, 27-Mar-2026,99.5,99.5,100.7,99.5,99.5,99.5,99.51,201,0.2,3,201.0, 100.00,2026-03-27
654GS2032, GS, 27-Mar-2026,100.36,100.45,100.45,100.45,100.45,100.45,100.45,1,0.0,1,1.0, 100.00,2026-03-27
