SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 12-Jun-2026,102.99,100.41,104.0,100.41,104.0,104.0,103.49,362,0.37,7,325.0, 89.78,2026-06-12
20MICRONS, EQ, 12-Jun-2026,178.88,180.55,185.1,180.5,183.7,182.37,182.86,136089,248.86,2649,68727.0, 50.50,2026-06-12
21STCENMGM, EQ, 12-Jun-2026,31.85,32.17,32.48,31.26,31.36,31.36,32.15,2335,0.75,26,1887.0, 80.81,2026-06-12
360ONE, EQ, 12-Jun-2026,1064.1,1079.7,1099.0,1058.0,1094.0,1096.8,1082.08,696601,7537.75,33351,336020.0, 48.24,2026-06-12
3BBLACKBIO, EQ, 12-Jun-2026,1254.1,1255.1,1272.8,1239.9,1240.0,1245.4,1251.32,10923,136.68,679,9254.0, 84.72,2026-06-12
3IINFOLTD, EQ, 12-Jun-2026,17.03,17.39,17.42,17.0,17.15,17.22,17.17,333384,57.24,1105,220737.0, 66.21,2026-06-12
3MINDIA, EQ, 12-Jun-2026,31165.0,31550.0,31695.0,31255.0,31655.0,31550.0,31474.25,1149,361.64,887,560.0, 48.74,2026-06-12
3PLAND, EQ, 12-Jun-2026,31.56,32.44,32.44,30.51,32.1,32.1,31.47,3849,1.21,81,2770.0, 71.97,2026-06-12
574GS2026, GS, 12-Jun-2026,100.0,101.89,101.89,99.63,99.66,99.66,100.74,204,0.21,4,100.0, 49.02,2026-06-12
5PAISA, EQ, 12-Jun-2026,303.5,303.6,311.0,303.6,309.9,309.7,308.82,24561,75.85,806,13113.0, 53.39,2026-06-12
610GS2031, GS, 12-Jun-2026,102.0,102.0,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1.0, 100.00,2026-06-12
622GS2035, GS, 12-Jun-2026,95.01,95.01,95.01,95.0,95.0,95.0,95.0,8938,8.49,4,8938.0, 100.00,2026-06-12
633GS2035, GS, 12-Jun-2026,102.0,98.0,102.0,98.0,102.0,102.0,98.0,1001,0.98,2,1001.0, 100.00,2026-06-12
636GS2031, GS, 12-Jun-2026,98.31,100.0,100.0,100.0,100.0,100.0,100.0,400,0.4,3,400.0, 100.00,2026-06-12
63MOONS, EQ, 12-Jun-2026,642.4,644.1,663.5,644.1,661.0,660.5,658.44,133330,877.9,3607,72251.0, 54.19,2026-06-12
648GS2035, GS, 12-Jun-2026,99.4,99.4,99.4,99.15,99.2,99.2,99.24,3050,3.03,7,3050.0, 100.00,2026-06-12
667GS2035, GS, 12-Jun-2026,110.0,115.5,115.5,115.0,115.0,115.0,115.25,2,0.0,2,2.0, 100.00,2026-06-12
668GS2033, GS, 12-Jun-2026,100.4,100.5,100.5,100.5,100.5,100.5,100.5,399,0.4,3,399.0, 100.00,2026-06-12
668GS2040, GS, 12-Jun-2026,98.0,98.0,98.0,97.1,97.1,97.1,97.41,1510,1.47,6,1268.0, 83.97,2026-06-12
676GS2061, GS, 12-Jun-2026,90.32,90.55,90.7,90.55,90.7,90.7,90.63,17135,15.53,19,17135.0, 100.00,2026-06-12
679GS2031, GS, 12-Jun-2026,100.25,101.71,102.0,101.71,102.0,102.0,101.86,200,0.2,2,100.0, 50.00,2026-06-12
68GS2060, GS, 12-Jun-2026,93.7,91.99,91.99,90.61,90.61,90.65,91.25,2823,2.58,16,2823.0, 100.00,2026-06-12
690GS2065, GS, 12-Jun-2026,91.98,92.0,92.3,91.8,91.8,91.85,91.92,2311,2.12,6,2310.0, 99.96,2026-06-12
694GS2036, GS, 12-Jun-2026,99.5,100.2,100.2,100.2,100.2,100.2,100.2,2,0.0,2,2.0, 100.00,2026-06-12
695GS2061, GS, 12-Jun-2026,95.95,95.4,95.4,95.4,95.4,95.4,95.4,10,0.01,2,10.0, 100.00,2026-06-12
699GS2051, GS, 12-Jun-2026,98.9,96.5,96.5,95.0,95.5,95.5,95.45,11576,11.05,12,11496.0, 99.31,2026-06-12
702GS2027, GS, 12-Jun-2026,100.84,100.8,100.9,100.8,100.9,100.9,100.89,2600,2.62,6,2600.0, 100.00,2026-06-12
704GS2029, GS, 12-Jun-2026,100.26,100.26,101.5,100.26,101.5,101.02,100.77,300,0.3,3,200.0, 66.67,2026-06-12
706GS2028, GS, 12-Jun-2026,101.75,101.8,102.8,101.6,102.8,102.8,101.85,21100,21.49,9,18000.0, 85.31,2026-06-12
