SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 11-Feb-2026,106.66,109.5,109.5,105.05,105.05,105.05,105.89,39,0.04,8,19.0, 48.72,2026-02-11
20MICRONS, EQ, 11-Feb-2026,181.73,181.73,201.5,181.73,187.05,188.07,192.85,555072,1070.45,9825,114124.0, 20.56,2026-02-11
21STCENMGM, EQ, 11-Feb-2026,39.5,39.5,40.25,38.76,38.81,38.9,39.13,3263,1.28,64,2980.0, 91.33,2026-02-11
360ONE, EQ, 11-Feb-2026,1162.4,1163.1,1163.2,1126.7,1137.0,1138.4,1138.27,766800,8728.27,29596,336556.0, 43.89,2026-02-11
3IINFOLTD, EQ, 11-Feb-2026,16.22,16.37,16.9,15.81,16.09,16.04,16.12,316714,51.05,1290,222615.0, 70.29,2026-02-11
3MINDIA, EQ, 11-Feb-2026,37635.0,37800.0,37800.0,36910.0,37300.0,37580.0,37309.71,4096,1528.21,3027,1767.0, 43.14,2026-02-11
3PLAND, EQ, 11-Feb-2026,35.17,35.03,36.5,34.41,35.14,34.98,35.44,3227,1.14,95,2617.0, 81.10,2026-02-11
563GS2026, GS, 11-Feb-2026,101.65,101.85,101.85,101.85,101.85,101.85,101.85,1,0.0,1,1.0, 100.00,2026-02-11
591GS2028, GS, 11-Feb-2026,99.14,99.16,99.16,99.16,99.16,99.16,99.16,50,0.05,1,50.0, 100.00,2026-02-11
5PAISA, EQ, 11-Feb-2026,339.1,339.3,341.0,331.0,332.1,333.25,334.89,37447,125.4,1414,17057.0, 45.55,2026-02-11
601GS2030, GS, 11-Feb-2026,99.0,99.0,99.0,98.25,98.25,98.25,98.98,3080,3.05,5,3080.0, 100.00,2026-02-11
619GS2034, GS, 11-Feb-2026,98.45,96.03,96.03,96.03,96.03,96.03,96.03,863,0.83,3,863.0, 100.00,2026-02-11
628GS2032, GS, 11-Feb-2026,96.96,96.96,97.0,96.56,97.0,97.0,96.84,300,0.29,3,200.0, 66.67,2026-02-11
633GS2035, GS, 11-Feb-2026,99.6,99.0,99.65,99.0,99.65,99.65,99.6,1000,1.0,2,1000.0, 100.00,2026-02-11
63MOONS, EQ, 11-Feb-2026,724.85,709.0,739.95,697.8,698.2,701.15,715.9,231249,1655.5,9417,103690.0, 44.84,2026-02-11
648GS2035, GS, 11-Feb-2026,100.3,99.7,99.9,99.7,99.9,99.9,99.8,300,0.3,3,300.0, 100.00,2026-02-11
654GS2032, GS, 11-Feb-2026,99.5,100.35,100.35,100.0,100.0,100.0,100.17,19000,19.03,9,18500.0, 97.37,2026-02-11
662GS2051, GS, 11-Feb-2026,98.0,93.1,97.6,93.1,97.6,95.35,95.35,200,0.19,2,100.0, 50.00,2026-02-11
667GS2050, GS, 11-Feb-2026,92.39,93.4,93.4,92.5,92.5,92.5,92.5,2058,1.9,7,2056.0, 99.90,2026-02-11
668GS2040, GS, 11-Feb-2026,96.9,97.0,97.0,97.0,97.0,97.0,97.0,300,0.29,1,300.0, 100.00,2026-02-11
