SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 10-Jun-2026,102.64,102.58,105.99,102.58,103.5,103.48,103.47,181,0.19,6,173.0, 95.58,2026-06-10
20MICRONS, EQ, 10-Jun-2026,187.83,188.76,188.77,184.0,184.37,184.98,185.8,65258,121.25,1800,37480.0, 57.43,2026-06-10
21STCENMGM, EQ, 10-Jun-2026,32.83,32.83,33.48,32.32,32.32,32.37,32.78,1937,0.63,31,1898.0, 97.99,2026-06-10
360ONE, EQ, 10-Jun-2026,1075.0,1080.0,1080.0,1048.0,1054.6,1052.0,1064.93,947964,10095.17,19154,631101.0, 66.57,2026-06-10
3BBLACKBIO, EQ, 10-Jun-2026,1201.5,1228.0,1441.5,1199.9,1242.0,1253.4,1287.59,52053,670.23,3585,32735.0, 62.89,2026-06-10
3IINFOLTD, EQ, 10-Jun-2026,16.8,17.0,17.0,16.25,16.64,16.43,16.62,123420,20.51,981,76783.0, 62.21,2026-06-10
3MINDIA, EQ, 10-Jun-2026,31785.0,31850.0,31990.0,31530.0,31780.0,31580.0,31699.54,1234,391.17,717,641.0, 51.94,2026-06-10
3PLAND, EQ, 10-Jun-2026,33.23,33.0,33.1,32.0,32.0,32.5,32.74,1557,0.51,103,1118.0, 71.80,2026-06-10
574GS2026, GS, 10-Jun-2026,99.57,100.05,100.05,100.05,100.05,100.05,100.05,416,0.42,3,416.0, 100.00,2026-06-10
585GS2030, GS, 10-Jun-2026,95.05,95.66,95.9,95.66,95.9,95.9,95.78,1000,0.96,2,500.0, 50.00,2026-06-10
5PAISA, EQ, 10-Jun-2026,311.3,311.3,314.35,299.6,306.05,302.7,304.08,50036,152.15,1350,30225.0, 60.41,2026-06-10
601GS2028, GS, 10-Jun-2026,98.25,99.84,100.5,99.84,100.5,100.46,100.38,3458,3.47,3,3000.0, 86.76,2026-06-10
603GS2029, GS, 10-Jun-2026,99.31,99.96,99.96,99.96,99.96,99.96,99.96,100,0.1,1,100.0, 100.00,2026-06-10
610GS2031, GS, 10-Jun-2026,103.0,102.0,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1.0, 100.00,2026-06-10
628GS2032, GS, 10-Jun-2026,98.9,99.0,99.0,99.0,99.0,99.0,99.0,1000,0.99,1,1000.0, 100.00,2026-06-10
63MOONS, EQ, 10-Jun-2026,652.45,656.8,666.9,626.4,635.35,642.45,639.57,202331,1294.05,6587,74475.0, 36.81,2026-06-10
645GS2029, GS, 10-Jun-2026,104.85,99.73,99.73,99.73,99.73,99.73,99.73,2,0.0,1,2.0, 100.00,2026-06-10
648GS2035, GS, 10-Jun-2026,97.4,97.4,97.4,97.4,97.4,97.4,97.4,100,0.1,1,100.0, 100.00,2026-06-10
667GS2035, GS, 10-Jun-2026,104.99,110.0,110.0,110.0,110.0,110.0,110.0,1,0.0,1,1.0, 100.00,2026-06-10
667GS2050, GS, 10-Jun-2026,94.3,91.63,94.3,91.63,94.3,94.3,91.77,982,0.9,3,492.0, 50.10,2026-06-10
668GS2033, GS, 10-Jun-2026,99.25,100.11,100.4,100.11,100.4,100.4,100.26,200,0.2,3,200.0, 100.00,2026-06-10
668GS2040, GS, 10-Jun-2026,96.16,97.0,97.45,97.0,97.45,97.45,97.08,602,0.58,2,500.0, 83.06,2026-06-10
676GS2061, GS, 10-Jun-2026,90.6,90.6,90.8,90.6,90.8,90.78,90.65,12444,11.28,20,12444.0, 100.00,2026-06-10
68GS2060, GS, 10-Jun-2026,93.49,93.95,94.09,93.8,93.8,93.8,94.05,12,0.01,5,11.0, 91.67,2026-06-10
690GS2065, GS, 10-Jun-2026,92.19,92.2,92.35,92.0,92.2,92.2,92.18,109725,101.14,26,109725.0, 100.00,2026-06-10
692GS2039, GS, 10-Jun-2026,95.5,96.66,96.66,96.66,96.66,96.66,96.66,50,0.05,1,50.0, 100.00,2026-06-10
694GS2036, GS, 10-Jun-2026,99.4,99.51,99.51,99.5,99.5,99.5,99.5,381,0.38,5,381.0, 100.00,2026-06-10
695GS2061, GS, 10-Jun-2026,94.01,95.5,95.5,95.5,95.5,95.5,95.5,15,0.01,2,15.0, 100.00,2026-06-10
697GR2034, GS, 10-Jun-2026,99.0,99.0,99.0,98.0,98.0,98.0,98.01,738,0.72,2,738.0, 100.00,2026-06-10
699GS2051, GS, 10-Jun-2026,100.0,96.12,99.5,96.12,99.5,99.5,99.49,13625,13.56,8,13625.0, 100.00,2026-06-10
702GS2027, GS, 10-Jun-2026,99.86,100.85,100.85,99.91,100.85,100.85,100.85,1609,1.62,9,1609.0, 100.00,2026-06-10
702GS2031, GS, 10-Jun-2026,102.8,103.5,103.5,103.31,103.31,103.31,103.47,3017,3.12,4,3017.0, 100.00,2026-06-10
706GS2028, GS, 10-Jun-2026,101.94,101.55,101.55,101.55,101.55,101.55,101.55,1300,1.32,1,1300.0, 100.00,2026-06-10
709GS2054, GS, 10-Jun-2026,96.5,97.5,97.5,95.5,96.0,96.05,95.53,509,0.49,6,501.0, 98.43,2026-06-10
709GS2074, GS, 10-Jun-2026,93.62,94.0,94.1,93.21,94.0,94.0,93.81,34370,32.24,30,28866.0, 83.99,2026-06-10
710GS2029, GS, 10-Jun-2026,103.5,103.1,103.1,103.1,103.1,103.1,103.1,1290,1.33,1,1290.0, 100.00,2026-06-10
716GS2050, GS, 10-Jun-2026,100.01,99.09,99.09,99.09,99.09,99.09,99.09,101,0.1,1,101.0, 100.00,2026-06-10
717GS2030, GS, 10-Jun-2026,101.5,101.51,101.51,101.51,101.51,101.51,101.51,5000,5.08,1,5000.0, 100.00,2026-06-10
718GS2037, GS, 10-Jun-2026,103.21,103.25,103.68,103.25,103.68,103.67,103.27,2675,2.76,5,2608.0, 97.50,2026-06-10
71GS2034, GS, 10-Jun-2026,101.0,100.7,100.7,100.7,100.7,100.7,100.7,4,0.0,1,4.0, 100.00,2026-06-10
723GS2039, GS, 10-Jun-2026,100.01,100.01,101.5,100.01,100.03,100.03,100.01,10501,10.5,8,10501.0, 100.00,2026-06-10
724GS2055, GS, 10-Jun-2026,98.46,98.48,98.48,98.25,98.48,98.48,98.44,2798,2.75,22,2683.0, 95.89,2026-06-10
725GS2063, GS, 10-Jun-2026,98.81,99.0,99.0,98.72,98.97,98.93,98.9,136620,135.12,60,130678.0, 95.65,2026-06-10
726GS2032, GS, 10-Jun-2026,103.5,103.7,103.7,103.7,103.7,103.7,103.7,2900,3.01,1,2900.0, 100.00,2026-06-10
733GS2026, GS, 10-Jun-2026,100.61,100.65,100.65,100.65,100.65,100.65,100.65,10,0.01,1,10.0, 100.00,2026-06-10
734GS2064, GS, 10-Jun-2026,97.2,97.78,97.78,97.5,97.5,97.5,97.63,27431,26.78,22,27429.0, 99.99,2026-06-10
736GS2052, GS, 10-Jun-2026,97.8,98.1,98.1,98.1,98.1,98.1,98.1,53,0.05,3,53.0, 100.00,2026-06-10
737GS2028, GS, 10-Jun-2026,101.79,102.5,102.75,102.5,102.75,102.75,102.61,28199,28.93,21,28197.0, 99.99,2026-06-10
738GS2027, GS, 10-Jun-2026,104.2,104.24,104.8,104.21,104.4,104.69,104.55,13375,13.98,23,10913.0, 81.59,2026-06-10
73GS2053, GS, 10-Jun-2026,99.9,101.47,101.48,101.47,101.48,101.47,101.48,10,0.01,2,5.0, 50.00,2026-06-10
741GS2036, GS, 10-Jun-2026,105.5,105.5,105.75,105.5,105.75,105.75,105.59,23100,24.39,2,23100.0, 100.00,2026-06-10
743GS2076, GS, 10-Jun-2026,99.8,101.0,102.44,101.0,101.0,101.0,101.01,102937,103.98,13,102014.0, 99.10,2026-06-10
746GS2073, GS, 10-Jun-2026,98.9,99.39,99.39,98.5,98.65,98.65,98.52,5209,5.13,20,5200.0, 99.83,2026-06-10
74GS2035, GS, 10-Jun-2026,103.5,104.0,104.0,104.0,104.0,104.0,104.0,2000,2.08,2,2000.0, 100.00,2026-06-10
74GS2062, GS, 10-Jun-2026,100.0,100.0,100.9,100.0,100.0,100.0,100.14,66,0.07,3,66.0, 100.00,2026-06-10
750GS2056, GS, 10-Jun-2026,99.5,99.5,99.5,99.25,99.5,99.5,99.49,2287,2.28,3,2287.0, 100.00,2026-06-10
754GS2036, GS, 10-Jun-2026,104.19,104.45,104.65,104.0,104.4,104.52,104.43,293542,306.55,155,271376.0, 92.45,2026-06-10
75GS2034, GS, 10-Jun-2026,103.11,104.21,104.21,104.21,104.21,104.21,104.21,2000,2.08,1,2000.0, 100.00,2026-06-10
771GS2066, GS, 10-Jun-2026,103.11,103.11,103.11,103.0,103.11,103.09,103.11,4570,4.71,5,4570.0, 100.00,2026-06-10
824GS2027, GS, 10-Jun-2026,104.02,103.72,103.75,103.51,103.51,103.57,103.73,3613,3.75,37,3605.0, 99.78,2026-06-10
833GS2036, GS, 10-Jun-2026,114.55,108.9,108.9,108.9,108.9,108.9,108.9,1,0.0,1,1.0, 100.00,2026-06-10
83GS2042, GS, 10-Jun-2026,112.0,108.2,108.2,108.2,108.2,108.2,108.2,1,0.0,1,1.0, 100.00,2026-06-10
897GS2030, GS, 10-Jun-2026,115.0,110.0,110.0,110.0,110.0,110.0,110.0,1001,1.1,2,1001.0, 100.00,2026-06-10
92GS2030, GS, 10-Jun-2026,110.5,110.65,111.0,110.65,111.0,110.99,110.85,3102,3.44,8,3101.0, 99.97,2026-06-10
A2ZINFRA, EQ, 10-Jun-2026,14.56,14.9,14.9,14.27,14.4,14.32,14.47,141905,20.54,352,117754.0, 82.98,2026-06-10
AAATECH, EQ, 10-Jun-2026,95.11,96.02,96.02,94.0,96.0,94.71,94.52,8671,8.2,330,6601.0, 76.13,2026-06-10
