SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 09-Jun-2026,104.99,102.36,106.36,102.36,102.51,102.64,102.77,352,0.36,11,307.0, 87.22,2026-06-09
20MICRONS, EQ, 09-Jun-2026,185.14,188.0,190.35,185.4,187.5,187.83,187.46,101163,189.64,2867,38259.0, 37.82,2026-06-09
21STCENMGM, EQ, 09-Jun-2026,33.32,33.32,33.95,32.75,33.88,32.83,32.82,5104,1.68,18,4961.0, 97.20,2026-06-09
360ONE, EQ, 09-Jun-2026,1054.9,1056.4,1083.0,1056.4,1080.0,1075.0,1069.86,384782,4116.63,14923,212586.0, 55.25,2026-06-09
3BBLACKBIO, EQ, 09-Jun-2026,1154.4,1154.4,1219.1,1147.0,1206.7,1201.5,1193.81,23670,282.57,2414,17511.0, 73.98,2026-06-09
3IINFOLTD, EQ, 09-Jun-2026,16.49,16.51,17.17,16.51,16.92,16.8,16.78,156307,26.23,813,113121.0, 72.37,2026-06-09
3MINDIA, EQ, 09-Jun-2026,31540.0,31925.0,32095.0,31620.0,31850.0,31785.0,31788.98,1671,531.19,1174,620.0, 37.10,2026-06-09
3PLAND, EQ, 09-Jun-2026,32.76,32.76,35.11,31.8,33.15,33.23,33.26,2247,0.75,160,1419.0, 63.15,2026-06-09
574GS2026, GS, 09-Jun-2026,99.61,100.4,100.4,99.57,99.57,99.57,99.99,10,0.01,2,5.0, 50.00,2026-06-09
5PAISA, EQ, 09-Jun-2026,307.1,307.4,312.45,304.2,312.45,311.3,309.4,23587,72.98,1197,8623.0, 36.56,2026-06-09
601GS2030, GS, 09-Jun-2026,98.3,98.3,98.3,98.3,98.3,98.3,98.3,300,0.29,1,300.0, 100.00,2026-06-09
603GS2029, GS, 09-Jun-2026,99.31,99.31,99.31,99.31,99.31,99.31,99.31,200,0.2,1,200.0, 100.00,2026-06-09
610GS2031, GS, 09-Jun-2026,102.9,99.0,103.0,99.0,103.0,103.0,100.0,4,0.0,2,4.0, 100.00,2026-06-09
636GS2031, GS, 09-Jun-2026,99.0,99.0,99.0,98.31,98.31,98.31,98.48,400,0.39,2,400.0, 100.00,2026-06-09
63MOONS, EQ, 09-Jun-2026,633.85,636.05,668.0,636.0,654.8,652.45,653.22,180464,1178.83,7480,81323.0, 45.06,2026-06-09
648GS2035, GS, 09-Jun-2026,97.4,97.4,97.4,97.4,97.4,97.4,97.4,109,0.11,1,109.0, 100.00,2026-06-09
664GS2027, GS, 09-Jun-2026,102.26,100.15,100.15,100.15,100.15,100.15,100.15,10,0.01,1,10.0, 100.00,2026-06-09
667GS2050, GS, 09-Jun-2026,94.45,94.4,94.4,94.3,94.3,94.3,94.38,106,0.1,2,106.0, 100.00,2026-06-09
668GS2040, GS, 09-Jun-2026,96.75,97.5,97.5,96.0,96.0,96.16,96.72,654,0.63,14,641.0, 98.01,2026-06-09
676GS2061, GS, 09-Jun-2026,90.01,90.4,90.6,90.32,90.6,90.6,90.45,27472,24.85,21,27442.0, 99.89,2026-06-09
68GS2060, GS, 09-Jun-2026,93.9,91.0,93.9,91.0,93.49,93.49,92.08,5239,4.82,15,5016.0, 95.74,2026-06-09
690GS2065, GS, 09-Jun-2026,91.99,91.6,92.2,91.3,92.19,92.19,91.8,19882,18.25,20,17215.0, 86.59,2026-06-09
694GS2036, GS, 09-Jun-2026,99.1,98.01,100.98,98.01,100.98,99.4,99.05,740,0.73,12,620.0, 83.78,2026-06-09
695GS2061, GS, 09-Jun-2026,95.0,96.0,96.0,94.0,94.01,94.01,94.07,2179,2.05,6,2104.0, 96.56,2026-06-09
698GR2054, GS, 09-Jun-2026,91.5,95.5,95.5,95.5,95.5,95.5,95.5,100,0.1,1,100.0, 100.00,2026-06-09
699GS2051, GS, 09-Jun-2026,99.1,97.5,100.0,97.5,100.0,100.0,98.58,231,0.23,3,191.0, 82.68,2026-06-09
702GS2027, GS, 09-Jun-2026,102.0,100.06,101.45,99.8,101.45,99.86,99.96,5101,5.1,6,5101.0, 100.00,2026-06-09
