SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026, GS, 03-Feb-2026,104.91,106.8,106.8,105.15,105.15,105.97,105.71,3016,3.19,9,1000.0, 33.16,2026-02-03
20MICRONS, EQ, 03-Feb-2026,168.86,178.8,178.8,170.4,172.2,172.88,173.62,108007,187.52,3683,49871.0, 46.17,2026-02-03
21STCENMGM, EQ, 03-Feb-2026,37.91,38.61,38.66,38.61,38.66,38.66,38.65,1360,0.53,19,1360.0, 100.00,2026-02-03
360ONE, EQ, 03-Feb-2026,1110.5,1150.0,1188.5,1150.0,1167.0,1167.6,1163.08,1208601,14057.02,57684,589252.0, 48.75,2026-02-03
3IINFOLTD, EQ, 03-Feb-2026,14.88,15.1,15.5,14.88,15.15,15.08,15.08,450220,67.89,1455,306033.0, 67.97,2026-02-03
3MINDIA, EQ, 03-Feb-2026,34490.0,35600.0,35650.0,34705.0,35000.0,35025.0,35094.5,3587,1258.84,2513,2090.0, 58.27,2026-02-03
3PLAND, EQ, 03-Feb-2026,34.38,34.8,36.0,34.02,34.45,34.49,35.44,7713,2.73,78,7323.0, 94.94,2026-02-03
563GS2026, GS, 03-Feb-2026,101.55,101.55,101.55,101.55,101.55,101.55,101.55,1,0.0,1,1.0, 100.00,2026-02-03
577GS2030, GS, 03-Feb-2026,95.57,95.16,95.16,95.16,95.16,95.16,95.16,32,0.03,1,32.0, 100.00,2026-02-03
5PAISA, EQ, 03-Feb-2026,331.1,339.8,357.05,329.4,333.2,334.05,336.31,172415,579.85,4899,72854.0, 42.26,2026-02-03
601GS2030, GS, 03-Feb-2026,97.3,98.0,98.0,97.5,98.0,98.0,97.82,1090,1.07,9,1090.0, 100.00,2026-02-03
610GS2031, GS, 03-Feb-2026,97.0,97.0,97.25,97.0,97.25,97.25,97.22,1690,1.64,3,1690.0, 100.00,2026-02-03
619GS2034, GS, 03-Feb-2026,96.02,98.45,98.45,98.45,98.45,98.45,98.45,384,0.38,1,384.0, 100.00,2026-02-03
63MOONS, EQ, 03-Feb-2026,638.25,646.0,662.0,643.0,650.15,650.65,651.7,82743,539.24,4103,40838.0, 49.36,2026-02-03
648GS2035, GS, 03-Feb-2026,99.09,99.08,99.1,99.08,99.1,99.1,99.09,400,0.4,4,400.0, 100.00,2026-02-03
654GS2032, GS, 03-Feb-2026,99.0,99.1,99.11,99.1,99.11,99.11,99.11,11384,11.28,4,11384.0, 100.00,2026-02-03
667GS2035, GS, 03-Feb-2026,98.62,99.5,99.94,99.5,99.94,99.94,99.87,1182,1.18,3,1182.0, 100.00,2026-02-03
667GS2050, GS, 03-Feb-2026,92.5,93.4,93.4,92.0,92.5,92.5,92.07,3701,3.41,12,3700.0, 99.97,2026-02-03
675GS2029, GS, 03-Feb-2026,101.75,102.0,102.3,102.0,102.3,102.3,102.24,10000,10.22,2,10000.0, 100.00,2026-02-03
676GS2061, GS, 03-Feb-2026,94.12,94.69,94.69,94.69,94.69,94.69,94.69,2,0.0,1,2.0, 100.00,2026-02-03
679GS2031, GS, 03-Feb-2026,101.25,100.25,100.25,100.25,100.25,100.25,100.25,100,0.1,1,100.0, 100.00,2026-02-03
679GS2034A, GS, 03-Feb-2026,95.7,95.0,95.0,95.0,95.0,95.0,95.0,200,0.19,1,200.0, 100.00,2026-02-03
690GS2065, GS, 03-Feb-2026,94.9,94.89,94.99,94.35,94.35,94.45,94.51,19794,18.71,19,18659.0, 94.27,2026-02-03
695GS2061, GS, 03-Feb-2026,94.06,94.89,94.89,94.89,94.89,94.89,94.89,4,0.0,2,4.0, 100.00,2026-02-03
697GR2034, GS, 03-Feb-2026,97.55,97.55,97.55,97.55,97.55,97.55,97.55,100,0.1,1,100.0, 100.00,2026-02-03
698GR2054, GS, 03-Feb-2026,93.5,94.5,94.5,93.1,94.39,94.29,93.41,2412,2.25,6,2304.0, 95.52,2026-02-03
699GS2026, GS, 03-Feb-2026,102.2,102.2,102.2,102.2,102.2,102.2,102.2,5,0.01,2,5.0, 100.00,2026-02-03
699GS2051, GS, 03-Feb-2026,95.95,95.33,96.6,95.05,95.8,95.8,95.51,3175,3.03,21,3164.0, 99.65,2026-02-03
702GS2027, GS, 03-Feb-2026,101.9,101.81,102.0,101.81,102.0,102.0,101.98,122949,125.38,7,122949.0, 100.00,2026-02-03
702GS2031, GS, 03-Feb-2026,101.31,101.31,101.31,101.0,101.3,101.3,101.05,30300,30.62,7,30300.0, 100.00,2026-02-03
706GS2028, GS, 03-Feb-2026,103.6,103.6,103.6,103.6,103.6,103.6,103.6,19500,20.2,1,19500.0, 100.00,2026-02-03
709GS2054, GS, 03-Feb-2026,99.51,99.0,100.25,99.0,99.94,99.94,99.68,39125,39.0,33,29125.0, 74.44,2026-02-03
